,username,likes,replies,retweets,text,timestamp
26,Bernie Sanders,18152,825,2550,"When we win the Democratic nomination and defeat Donald Trump, we will transform our political system by rejecting the influence of big corporate money.",2019-10-07 15:42:48
27,Bernie Sanders,17379,652,4500,"Money is not speech.

Corporations are not people. 

And you shouldn't have to beg the rich and powerful for money to run for office. 

Today we are releasing our plan to get corporate money out of politics.https://berniesanders.com/issues/money-out-of-politics/ …",2019-10-07 14:37:09
28,Bernie Sanders,13481,527,2559,Passing Medicare for All and eliminating all past-due medical debt is not only our moral obligation. It is economically necessary.https://twitter.com/business/status/1178776326892859394 …,2019-10-07 00:16:59
29,Bernie Sanders,9739,602,2149,Trump's vision of government is one that serves the rich and attacks the poor. We have a different idea. We are going to protect the programs that are life-and-death for millions of working people and make the wealthy pay their fair share.https://twitter.com/nytimes/status/1180214778477907971 …,2019-10-06 19:01:59
30,Bernie Sanders,173090,24380,19874,Maybe I'm old fashioned. But I believe we should have a president who believes in the United States Constitution.,2019-10-06 17:04:24
31,Bernie Sanders,7067,212,1559,"We set an ambitious goal: 1,000,000 calls to early states in 10 days. It took our volunteers just nine.

This is the unprecedented grassroots power that we need to not only defeat Donald Trump, but to take back our democracy from the corporate elite.pic.twitter.com/rpC4AhrRUm",2019-10-06 15:51:53
32,Bernie Sanders,20127,1020,3648,"One million donors. 

That’s how many people are funding this campaign — and all of their names are now on the wall at our campaign headquarters. Because this campaign is not just about me. It’s about all of us fighting for justice, together.pic.twitter.com/bq6TjDm9A0",2019-10-07 22:38:27
33,Bernie Sanders,34074,393,4377,Good!https://twitter.com/AlexGangitano/status/1181322396453789700 …,2019-10-07 21:46:51
34,Bernie Sanders,9894,306,1502,Our grassroots-funded campaign is proving every single day that you don't need billionaires and private fundraisers to run for president.,2019-10-07 20:21:00
35,Bernie Sanders,63021,3095,7021,"Not only are we going to defeat Trump, we're going to make him pay an additional $142 million with our tax on extreme wealth.",2019-10-07 19:03:00
36,Bernie Sanders,18152,825,2550,"When we win the Democratic nomination and defeat Donald Trump, we will transform our political system by rejecting the influence of big corporate money.",2019-10-07 15:42:48
37,Bernie Sanders,17379,652,4500,"Money is not speech.

Corporations are not people. 

And you shouldn't have to beg the rich and powerful for money to run for office. 

Today we are releasing our plan to get corporate money out of politics.https://berniesanders.com/issues/money-out-of-politics/ …",2019-10-07 14:37:09
38,Bernie Sanders,13481,527,2559,Passing Medicare for All and eliminating all past-due medical debt is not only our moral obligation. It is economically necessary.https://twitter.com/business/status/1178776326892859394 …,2019-10-07 00:16:59
39,Bernie Sanders,9739,602,2149,Trump's vision of government is one that serves the rich and attacks the poor. We have a different idea. We are going to protect the programs that are life-and-death for millions of working people and make the wealthy pay their fair share.https://twitter.com/nytimes/status/1180214778477907971 …,2019-10-06 19:01:59
40,Bernie Sanders,173090,24380,19874,Maybe I'm old fashioned. But I believe we should have a president who believes in the United States Constitution.,2019-10-06 17:04:24
41,Bernie Sanders,7067,212,1559,"We set an ambitious goal: 1,000,000 calls to early states in 10 days. It took our volunteers just nine.

This is the unprecedented grassroots power that we need to not only defeat Donald Trump, but to take back our democracy from the corporate elite.pic.twitter.com/rpC4AhrRUm",2019-10-06 15:51:53
42,Bernie Sanders,18500,893,5427,"When we say the system is rigged in favor of the rich this is what we mean. We need a government that works for working people, not just the rich and powerful.https://www.gq.com/story/no-irs-audits-for-the-rich …",2019-10-05 19:00:00
43,Bernie Sanders,3051,173,732,One of the most important things you can do is help us bring more people into the political process to defeat Trump. We are getting very close to our goal of 1 million calls to voters. Help us get there:https://berniesanders.com/call/ ,2019-10-05 17:22:00
44,Bernie Sanders,8688,326,2143,"""In the richest country in the world, it is obscene that millions of people are pushed into poverty and insolvency because they had the bad luck of getting sick and needing to see a doctor."" -Astra Taylor #EliminateMedicalDebthttps://www.theguardian.com/commentisfree/2019/oct/04/bernie-sanders-healthcare-medical-debt …",2019-10-05 16:30:00
45,Bernie Sanders,16652,678,2700,"While Trump wants to use health care as a weapon to advance a racist and xenophobic agenda, we are going to guarantee health care to all and we're going to win.https://twitter.com/washingtonpost/status/1180302191908806656 …",2019-10-05 15:08:51
46,Bernie Sanders,109596,3752,11414,"I want to thank the doctors, nurses, and staff at the Desert Springs Hospital Medical Center for the excellent care that they provided. After two and a half days in the hospital, I feel great, and after taking a short time off, I look forward to getting back to work.pic.twitter.com/HjBc9LPjo4",2019-10-04 22:15:27
47,Bernie Sanders,6798,263,1482,"I'm looking forward to be back on the campaign trail soon. In the meantime, making calls to voters is the single most important thing you can do to help our campaign. Help us keep the political revolution going and reach 1,000,000 calls by Sunday: https://berniesanders.com/call/ ",2019-10-04 21:02:01
48,Bernie Sanders,12488,508,1942,Every day we see why this is the most corrupt president in our modern history. Impeachment must move forward as quickly as possible.https://twitter.com/HuffPost/status/1179975674632835072 …,2019-10-04 14:55:25
49,Bernie Sanders,330104,10498,37054,It's going to be a real pleasure defeating you.https://twitter.com/realDonaldTrump/status/1179931107111907333 …,2019-10-04 01:49:34
50,Bernie Sanders,11593,499,2177,"Here's Trump's brilliant idea: tell Americans that we cannot guarantee health care for all to distract from the fact that he's the most corrupt president in our modern history. Another great idea from our ""stable genius"" president.https://twitter.com/WSJ/status/1179735632337395713 …",2019-10-03 23:52:42
51,Bernie Sanders,33391,1122,4757,"I'm looking forward to sharing our vision for transforming this country at the next debate.

I am lucky to have great health care, but millions of Americans are not. Some 87 million Americans are uninsured or underinsured.

That is unacceptable to me. We need Medicare for All.",2019-10-03 22:00:12
52,Bernie Sanders,18500,893,5427,"When we say the system is rigged in favor of the rich this is what we mean. We need a government that works for working people, not just the rich and powerful.https://www.gq.com/story/no-irs-audits-for-the-rich …",2019-10-05 19:00:00
53,Bernie Sanders,3051,173,732,One of the most important things you can do is help us bring more people into the political process to defeat Trump. We are getting very close to our goal of 1 million calls to voters. Help us get there:https://berniesanders.com/call/ ,2019-10-05 17:22:00
54,Bernie Sanders,8686,326,2143,"""In the richest country in the world, it is obscene that millions of people are pushed into poverty and insolvency because they had the bad luck of getting sick and needing to see a doctor."" -Astra Taylor #EliminateMedicalDebthttps://www.theguardian.com/commentisfree/2019/oct/04/bernie-sanders-healthcare-medical-debt …",2019-10-05 16:30:00
55,Bernie Sanders,16652,678,2700,"While Trump wants to use health care as a weapon to advance a racist and xenophobic agenda, we are going to guarantee health care to all and we're going to win.https://twitter.com/washingtonpost/status/1180302191908806656 …",2019-10-05 15:08:51
56,Bernie Sanders,109596,3752,11414,"I want to thank the doctors, nurses, and staff at the Desert Springs Hospital Medical Center for the excellent care that they provided. After two and a half days in the hospital, I feel great, and after taking a short time off, I look forward to getting back to work.pic.twitter.com/HjBc9LPjo4",2019-10-04 22:15:27
57,Bernie Sanders,6798,263,1482,"I'm looking forward to be back on the campaign trail soon. In the meantime, making calls to voters is the single most important thing you can do to help our campaign. Help us keep the political revolution going and reach 1,000,000 calls by Sunday: https://berniesanders.com/call/ ",2019-10-04 21:02:01
58,Bernie Sanders,12487,508,1942,Every day we see why this is the most corrupt president in our modern history. Impeachment must move forward as quickly as possible.https://twitter.com/HuffPost/status/1179975674632835072 …,2019-10-04 14:55:25
59,Bernie Sanders,330104,10498,37054,It's going to be a real pleasure defeating you.https://twitter.com/realDonaldTrump/status/1179931107111907333 …,2019-10-04 01:49:34
60,Bernie Sanders,11593,499,2177,"Here's Trump's brilliant idea: tell Americans that we cannot guarantee health care for all to distract from the fact that he's the most corrupt president in our modern history. Another great idea from our ""stable genius"" president.https://twitter.com/WSJ/status/1179735632337395713 …",2019-10-03 23:52:42
61,Bernie Sanders,33391,1122,4757,"I'm looking forward to sharing our vision for transforming this country at the next debate.

I am lucky to have great health care, but millions of Americans are not. Some 87 million Americans are uninsured or underinsured.

That is unacceptable to me. We need Medicare for All.",2019-10-03 22:00:12
62,Bernie Sanders,357163,14604,45742,"Thanks for all the well wishes. I'm feeling good. I'm fortunate to have good health care and great doctors and nurses helping me to recover.

None of us know when a medical emergency might affect us. And no one should fear going bankrupt if it occurs. Medicare for All!",2019-10-02 20:30:59
63,Bernie Sanders,2151,315,281,HAPPENING SOON: Join our campaign manager @fshakir at 9pm ET / 6pm PT for a special strategy call with supporters. You can join by dialing 855-286-0288.,2019-10-02 00:57:02
64,Bernie Sanders,50581,2062,6708,I’m not going anywhere. But billionaires can be damn sure they’ll pay their fair share when I am president.https://twitter.com/CristinaAlesci/status/1179188041535111168 …,2019-10-02 00:50:13
65,Bernie Sanders,11826,230,1866,"This is an enormous victory for workers. Over 40,000 child care providers now have the right to negotiate better pay and benefits, training and high-quality care for children. Congratulations to all who organized to make this possible.https://twitter.com/ABC30/status/1178904886806810624 …",2019-10-02 00:06:35
66,Bernie Sanders,9781,741,1924,"This is what I mean when I say Trump is a racist and a demagogue. Under my administration, no government agent will ever tear a baby away from the arms of a mother. We are going to end the demonization of immigrants and create a just and fair immigration system.https://twitter.com/peterbakernyt/status/1179156234789904385 …",2019-10-01 22:36:40
67,Bernie Sanders,2252,67,487,"Yesterday I stood in solidarity with @SEIU1984, @SEIU, and workers from Rockingham County Nursing Home who are fighting for their right to form a union. They deserve a voice for themselves and the people they serve.pic.twitter.com/pjFzRrfXXT",2019-10-01 22:12:27
68,Bernie Sanders,11193,477,1752,"Two years ago the deadliest mass shooting in our modern history ended 58 lives in Las Vegas.

Since then thousands more lives have been lost to gun violence.

Our job: stand up to the NRA, pass real gun safety legislation and ban the sale and distribution of assault weapons.",2019-10-01 21:13:22
69,Bernie Sanders,8889,322,1728,"The billionaire owners of Forever 21 won't suffer as a result of filing for bankruptcy. The thousands of workers losing their jobs will.

We must stand workers and against the greed of Wall Street and the billionaire class. All Forever 21 workers must be paid their fair share.https://twitter.com/NPR/status/1178881993305710592 …",2019-10-01 19:49:35
70,Bernie Sanders,2665,194,585,"We are going to guarantee every American the treatment they need—with no co-pays, deductibles, or premiums—through Medicare for All.https://iowastartingline.com/2019/09/29/sanders-m4a-plan-is-best-way-to-fix-substance-abuse-crisis/ …",2019-10-01 16:42:44
71,Bernie Sanders,15174,313,2699," Our average donation: $19
 Most common profession: Teachers
 Over 1 million donors
 99.9% can give again

We don’t need billionaires. We don’t need a super PAC. We have the people, and that is much more powerful.",2019-10-01 14:14:59
72,Bernie Sanders,42372,1699,7508,"The billionaire class should be very, very nervous. The working people of this country are ready for a political revolution.https://twitter.com/ABC/status/1178974895943888898 …",2019-10-01 11:21:56
73,Bernie Sanders,357163,14604,45742,"Thanks for all the well wishes. I'm feeling good. I'm fortunate to have good health care and great doctors and nurses helping me to recover.

None of us know when a medical emergency might affect us. And no one should fear going bankrupt if it occurs. Medicare for All!",2019-10-02 20:30:59
74,Bernie Sanders,2151,315,281,HAPPENING SOON: Join our campaign manager @fshakir at 9pm ET / 6pm PT for a special strategy call with supporters. You can join by dialing 855-286-0288.,2019-10-02 00:57:02
75,Bernie Sanders,50581,2062,6708,I’m not going anywhere. But billionaires can be damn sure they’ll pay their fair share when I am president.https://twitter.com/CristinaAlesci/status/1179188041535111168 …,2019-10-02 00:50:13
76,Bernie Sanders,11826,230,1866,"This is an enormous victory for workers. Over 40,000 child care providers now have the right to negotiate better pay and benefits, training and high-quality care for children. Congratulations to all who organized to make this possible.https://twitter.com/ABC30/status/1178904886806810624 …",2019-10-02 00:06:35
77,Bernie Sanders,9781,741,1924,"This is what I mean when I say Trump is a racist and a demagogue. Under my administration, no government agent will ever tear a baby away from the arms of a mother. We are going to end the demonization of immigrants and create a just and fair immigration system.https://twitter.com/peterbakernyt/status/1179156234789904385 …",2019-10-01 22:36:40
78,Bernie Sanders,2252,67,487,"Yesterday I stood in solidarity with @SEIU1984, @SEIU, and workers from Rockingham County Nursing Home who are fighting for their right to form a union. They deserve a voice for themselves and the people they serve.pic.twitter.com/pjFzRrfXXT",2019-10-01 22:12:27
79,Bernie Sanders,11193,477,1752,"Two years ago the deadliest mass shooting in our modern history ended 58 lives in Las Vegas.

Since then thousands more lives have been lost to gun violence.

Our job: stand up to the NRA, pass real gun safety legislation and ban the sale and distribution of assault weapons.",2019-10-01 21:13:22
80,Bernie Sanders,8889,322,1728,"The billionaire owners of Forever 21 won't suffer as a result of filing for bankruptcy. The thousands of workers losing their jobs will.

We must stand workers and against the greed of Wall Street and the billionaire class. All Forever 21 workers must be paid their fair share.https://twitter.com/NPR/status/1178881993305710592 …",2019-10-01 19:49:35
81,Bernie Sanders,2665,194,585,"We are going to guarantee every American the treatment they need—with no co-pays, deductibles, or premiums—through Medicare for All.https://iowastartingline.com/2019/09/29/sanders-m4a-plan-is-best-way-to-fix-substance-abuse-crisis/ …",2019-10-01 16:42:44
82,Bernie Sanders,15174,313,2699," Our average donation: $19
 Most common profession: Teachers
 Over 1 million donors
 99.9% can give again

We don’t need billionaires. We don’t need a super PAC. We have the people, and that is much more powerful.",2019-10-01 14:14:59
83,Bernie Sanders,42372,1699,7508,"The billionaire class should be very, very nervous. The working people of this country are ready for a political revolution.https://twitter.com/ABC/status/1178974895943888898 …",2019-10-01 11:21:56
84,Bernie Sanders,22853,881,4674,"When politicians like Trump say we must cut food stamps, Medicaid and public housing, it's not because we don't have the money.

We're the richest country on Earth!

It's because they refuse to stand up to their billionaire donors, who hoard wealth and stash it in tax havens.",2019-10-10 23:33:00
85,Bernie Sanders,50114,2087,7079,No person needs to have tens of billions of dollars while others sleep out on the streets. We're going to tax the ultra rich and use the revenue to guarantee decent housing for all.,2019-10-10 22:22:00
86,Bernie Sanders,10395,220,2391,"Mental health care shouldn't be a privilege for the wealthy. It should be accessible to all. Medicare for All will guarantee mental health coverage to every person in this country, free at the point of service. #WorldMentalHealthDay",2019-10-10 21:34:10
87,Bernie Sanders,26725,505,6040,"It's not coincidental that the top health care CEOs made $1.1 billion last year while 4 in 10 cancer patients lose their life savings due to treatment.

Our system is designed to take money from sick people and put it in the pockets of rich executives.

We need Medicare for All.",2019-10-10 20:20:46
88,Bernie Sanders,3114,75,701,"Let me congratulate the @massaflcio on their support for Medicare for All. When every American has comprehensive health care as a right, unions will no longer have to spend enormous amounts of time and energy fighting to maintain their employer-based health insurance benefits.https://twitter.com/theintercept/status/1182057953328816133 …",2019-10-10 18:18:28
89,Bernie Sanders,7639,375,2135,"Irresponsible corporate greed threatened the health and safety of 800,000 Californians. Meanwhile, PG&E has paid out billions to its shareholders. My Green New Deal will build a 21st century energy grid that will deliver clean, reliable power to all.https://www.cnn.com/2019/10/09/us/pge-power-outage-wednesday/index.html …",2019-10-10 00:02:27
90,Bernie Sanders,41675,949,9590,"If you don't think our tax system is rigged in favor of the wealthy, remember that the Waltons (worth over $200 billion) pay a lower tax rate than entry-level workers at Walmart.",2019-10-09 20:44:43
91,Bernie Sanders,45671,715,9006,But how will we afford Medicare for All?https://twitter.com/Forbes/status/1181339674754846722 …,2019-10-09 15:39:44
92,Bernie Sanders,9103,349,1399,"Congratulations to Waterloo for being the first community in Iowa to ""ban the box"" on job applications so that formerly incarcerated people get a fair chance. When we are in the White House we will ban employers nationwide from discriminating based on past convictions.https://twitter.com/KCRG/status/1181374903506866176 …",2019-10-08 22:40:04
93,Bernie Sanders,14658,246,3776,"We stand with our LGBTQ+ family today, who should never have to fear for their jobs because of who they are. Trump is on the wrong side of history and we will fight until there is justice for all. #RiseUpOct8https://twitter.com/nowthisnews/status/1181563142700244992 …",2019-10-08 16:40:33
94,Bernie Sanders,47515,1615,12067,"Donald Trump, Jeff Bezos and Warren Buffett pay a lower tax rate than someone making $7.25 an hour.

Let that sink in.

In a Sanders administration that ends. We will tax extreme wealth and make the rich pay their fair share.https://twitter.com/DLeonhardt/status/1180990667700477952 …",2019-10-08 15:47:45
95,Bernie Sanders,11564,676,1827,What is the Trump administration trying to hide?https://twitter.com/CNN/status/1181549069715607557 …,2019-10-08 13:56:43
96,Bernie Sanders,22853,881,4674,"When politicians like Trump say we must cut food stamps, Medicaid and public housing, it's not because we don't have the money.

We're the richest country on Earth!

It's because they refuse to stand up to their billionaire donors, who hoard wealth and stash it in tax havens.",2019-10-10 23:33:00
97,Bernie Sanders,50114,2087,7079,No person needs to have tens of billions of dollars while others sleep out on the streets. We're going to tax the ultra rich and use the revenue to guarantee decent housing for all.,2019-10-10 22:22:00
98,Bernie Sanders,10395,220,2391,"Mental health care shouldn't be a privilege for the wealthy. It should be accessible to all. Medicare for All will guarantee mental health coverage to every person in this country, free at the point of service. #WorldMentalHealthDay",2019-10-10 21:34:10
99,Bernie Sanders,26725,505,6040,"It's not coincidental that the top health care CEOs made $1.1 billion last year while 4 in 10 cancer patients lose their life savings due to treatment.

Our system is designed to take money from sick people and put it in the pockets of rich executives.

We need Medicare for All.",2019-10-10 20:20:46
100,Bernie Sanders,3114,75,701,"Let me congratulate the @massaflcio on their support for Medicare for All. When every American has comprehensive health care as a right, unions will no longer have to spend enormous amounts of time and energy fighting to maintain their employer-based health insurance benefits.https://twitter.com/theintercept/status/1182057953328816133 …",2019-10-10 18:18:28
101,Bernie Sanders,7639,375,2135,"Irresponsible corporate greed threatened the health and safety of 800,000 Californians. Meanwhile, PG&E has paid out billions to its shareholders. My Green New Deal will build a 21st century energy grid that will deliver clean, reliable power to all.https://www.cnn.com/2019/10/09/us/pge-power-outage-wednesday/index.html …",2019-10-10 00:02:27
102,Bernie Sanders,41675,949,9590,"If you don't think our tax system is rigged in favor of the wealthy, remember that the Waltons (worth over $200 billion) pay a lower tax rate than entry-level workers at Walmart.",2019-10-09 20:44:43
103,Bernie Sanders,45671,715,9006,But how will we afford Medicare for All?https://twitter.com/Forbes/status/1181339674754846722 …,2019-10-09 15:39:44
104,Bernie Sanders,9103,349,1399,"Congratulations to Waterloo for being the first community in Iowa to ""ban the box"" on job applications so that formerly incarcerated people get a fair chance. When we are in the White House we will ban employers nationwide from discriminating based on past convictions.https://twitter.com/KCRG/status/1181374903506866176 …",2019-10-08 22:40:04
105,Bernie Sanders,14658,246,3776,"We stand with our LGBTQ+ family today, who should never have to fear for their jobs because of who they are. Trump is on the wrong side of history and we will fight until there is justice for all. #RiseUpOct8https://twitter.com/nowthisnews/status/1181563142700244992 …",2019-10-08 16:40:33
106,Bernie Sanders,47515,1615,12067,"Donald Trump, Jeff Bezos and Warren Buffett pay a lower tax rate than someone making $7.25 an hour.

Let that sink in.

In a Sanders administration that ends. We will tax extreme wealth and make the rich pay their fair share.https://twitter.com/DLeonhardt/status/1180990667700477952 …",2019-10-08 15:47:45
107,Bernie Sanders,11564,676,1827,What is the Trump administration trying to hide?https://twitter.com/CNN/status/1181549069715607557 …,2019-10-08 13:56:43
108,Bernie Sanders,4654,127,990,"Thank you Detroit and Rep. @RashidaTlaib! Our message to the top 1% and powerful corporations: this nation belongs to all of us, not just the few. Can you hear us now?pic.twitter.com/TvvHizsJGU",2019-10-27 23:11:24
109,Bernie Sanders,39011,675,7898,Don't let anyone tell you that our vision is radical or extreme. Radical and extreme is giving a trillion dollars in tax breaks to the top 1% when half a million Americans will be homeless tonight. That's radical.,2019-10-27 22:46:37
110,Bernie Sanders,25180,463,4247,Don't believe anyone who tells you that moving toward a society of justice is impossible.,2019-10-27 22:21:25
111,Bernie Sanders,3759,150,966,"If there ever was a time for millions of people to come together and build a mass movement for justice, now is that time. Join us live from Detroit at our rally with @RashidaTlaib, Jack White, and more:https://www.pscp.tv/w/cIYE_zMyNzU3OTl8MXJteFBYYmJrRVF4Tmq1e0SG6vler444g41c3G_nM9In1kAEpHsCl18TtD3s …",2019-10-27 21:34:56
112,Bernie Sanders,9106,95,1382,"Today marks one year since the massacre at the Tree of Life synagogue, the deadliest anti-Semitic attack in U.S. history. We mourn for the eleven victims, and we remain committed to fighting white supremacist violence as the national security threat that it is.",2019-10-27 20:05:19
113,Bernie Sanders,26301,619,3242,"Our hearts go out to Californians affected by the devastating wildfires. Climate change is real, and when I am president, we are going to treat this like the existential crisis it is.",2019-10-27 19:30:39
114,Bernie Sanders,1964,73,419,"Tonight: join me and @RashidaTlaib for a rally featuring live performances by Jack White and the Cass Tech Madrigals! Watch live at http://live.berniesanders.com . 

See here for more info: https://act.berniesanders.com/event/event-bernie-sanders-attend/34748 …pic.twitter.com/eKvGVY8cfE",2019-10-27 18:49:10
115,Bernie Sanders,63126,3641,8640,I have walked more picket lines in my life than all of my opponents combined. That's what I do.,2019-10-27 16:58:26
116,Bernie Sanders,34308,892,5203,"The primary goal of a criminal justice system should not be punishment, but whenever possible, rehabilitation.",2019-10-26 20:50:04
117,Bernie Sanders,2957,102,713,"With only 100 days left until the Iowa caucuses, one of the most important things you can do is make calls to voters. Help us reach our goal of 2,000,000 before the end of October:https://berniesanders.com/call/ ",2019-10-26 20:01:00
118,Bernie Sanders,37867,772,5642,"We are the only campaign with more donations than Trump and that is exactly why we are going to defeat him and transform this country. Thank you, T.I.https://twitter.com/People4Bernie/status/1187822393227481088 …",2019-10-26 18:23:41
119,Bernie Sanders,5512,214,1198,"Trump and his billionaire friends are using corrupt schemes to profit off low-income communities. When we defeat Trump, we’re going to end this tax scam an invest in working-class communities that have been fleeced.https://www.nytimes.com/2019/10/26/business/michael-milken-trump-opportunity-zones.html …",2019-10-26 16:01:00
120,Bernie Sanders,38792,1398,6512,I pledge to pass a Green New Deal and appoint an Attorney General who will prosecute the fossil fuel executives who knowingly contributed to the climate crisis in order to make massive profits.https://twitter.com/BP_plc/status/1186645440621531136 …,2019-10-26 15:17:49
